gisjoin,year,state,total_pop,urban_pop,rural_farm_pop,black_pop,white_pop,black_farm_val,white_farm_val,black_acres,white_acres,black_num_farms,white_num_farms
G010,1930,Alabama,2646248,744273,1336409,944834,1700775,104844240,397526560,4158609,13396026,93829,163566
G025,1930,Alaska Territory,59278,7839,NA,NA,28640,28509,2828676,23776,502166,8,492
G040,1930,Arizona,435573,149856,98819,10749,264378,9545738,174684912,119088,10407539,3953,10220
G050,1930,Arkansas,1854482,382878,1117330,478463,1374906,118235904,429592352,2487762,13565200,79579,162755
G060,1930,California,5677251,4160596,579350,81048,5040247,104651288,2147483647,330274,30112307,5472,130204
G080,1930,Colorado,1035791,519882,281038,11828,961117,5234371,624112320,81660,28794511,601,59355
G090,1930,Connecticut,1606903,1131770,80247,29354,1576673,330700,227082208,1916,1500363,37,17158
G100,1930,Delaware,238380,123146,46302,32602,205694,2628590,64313156,54756,846059,807,8900
G110,1930,District Of Columbia,486869,486869,0,132068,353914,82000,7061712,95,2976,11,93
G120,1930,Florida,1468211,759778,274949,431828,1035205,15519958,407826304,514831,4511786,11043,47923
G130,1930,Georgia,2908506,895492,1413719,1071125,1836974,114695848,462642560,5104659,16973971,86789,168809
G155,1930,Hawaii Territory,368336,197937,NA,NA,NA,16554966,95225464,235293,2579733,5322,633
G160,1930,Idaho,445032,129507,186100,668,437562,4476467,412773120,57327,9289581,698,40976
G170,1930,Illinois,7630654,5635727,991401,328972,7266361,3720618,2147483647,57811,30637528,894,213603
G180,1930,Indiana,3238503,1795892,808981,111982,3116136,2014855,1413527296,29072,19659603,475,181095
G190,1930,Iowa,2470939,979292,964659,17380,2448382,1012634,2147483647,11264,34008068,154,214774
G200,1930,Kansas,1880999,729834,704601,66344,1792847,6653525,2147483647,157126,46818521,1036,165006
G210,1930,Kentucky,2614589,799026,1174232,226040,2388364,16157594,855291008,341833,19585453,9104,237395
G220,1930,Louisiana,2101593,833532,826882,776326,1318160,108714920,309476864,2315402,7040035,73770,87675
G230,1930,Maine,797423,321506,161429,1096,795183,46900,194232992,1005,4638933,17,38989
G240,1930,Maryland,1631526,974869,236172,276379,1354170,18907182,337262976,345569,4028829,5267,37936
G250,1930,Massachusetts,4249614,3831426,80309,52365,4192926,379395,260842992,2077,2003384,64,25534
G260,1930,Michigan,4842325,3302075,775436,169453,4650171,2159628,1158492032,38391,17080560,561,168811
G270,1930,Minnesota,2563953,1257616,888049,9445,2538973,718943,2124374272,21129,30892238,245,185010
G280,1930,Mississippi,2009821,338850,1360729,1009718,996856,249551104,318770944,6073239,11258956,182888,129775
G290,1930,Missouri,3629367,1859119,1108969,223840,3398887,14592598,1781653888,257016,33486003,5861,250079
G300,1930,Montana,537606,181036,203962,1256,517327,4705783,522904224,398760,44260392,1184,46311
G310,1930,Nebraska,1377963,486107,582981,13752,1353702,1993210,2147483647,30118,44678447,270,129188
G320,1930,Nevada,91058,34464,16296,516,81425,870537,63240464,21123,4059783,311,3131
G330,1930,New Hampshire,465293,273079,54911,790,464350,23500,77331824,902,1959159,8,14898
G340,1930,New Jersey,4041334,3339244,121008,208828,3829209,2278400,296566720,20093,1737934,384,24994
G350,1930,New Mexico,423317,106816,157906,2850,331755,3117791,204741696,244351,30577683,3345,28059
G360,1930,New York,12588066,10521952,706446,412814,12150293,2352067,1313552640,37385,17942248,460,159346
G370,1930,North Carolina,3170276,809847,1597220,918647,2234948,159285248,684836544,3392535,14662568,76873,202835
G380,1930,North Dakota,680845,113306,396871,377,671243,2122203,949103232,149768,38508126,801,77174
G390,1930,Ohio,6646697,4507371,1004288,309304,6331136,5479485,1687551232,92804,21421255,1237,218059
G400,1930,Oklahoma,2396040,821681,1021174,172198,2123424,67780368,1174943104,1965752,31825065,22937,180929
G410,1930,Oregon,953786,489746,221545,2234,937029,4840005,625987904,72781,16475897,683,54470
G420,1930,Pennsylvania,9631350,6533511,846240,431257,9192602,2285180,1200732416,22023,15287462,363,172056
G440,1930,Rhode Island,687497,635429,10289,9913,677016,42700,34465048,694,278667,11,3311
G450,1930,South Carolina,1738765,371080,914098,793681,944040,106006232,273184384,3171976,7221137,77425,80506
G460,1930,South Dakota,692849,130907,389431,646,669453,9590800,1275562752,790561,35679522,2740,80417
G470,1930,Tennessee,2616556,896538,1213065,477646,2138619,56384060,686838272,1357374,16645867,35138,210519
G480,1930,Texas,5824715,2389348,2342553,854964,4283491,180922288,2147483647,4447260,120259870,86063,409426
G490,1930,Utah,507847,266264,106667,1108,495955,2873375,218349792,39399,5573702,568,26591
G500,1930,Vermont,359611,118766,111898,568,358965,118700,145816544,3812,3892285,22,24876
G510,1930,Virginia,2421851,785537,948746,650165,1770405,71905272,783944384,2046028,14682592,39673,130937
G530,1930,Washington,1563396,884539,300143,6840,1521099,9215626,764446976,129333,13404445,1349,69555
G540,1930,West Virginia,1729205,491504,447750,114893,1613934,1484128,340492256,28085,8774263,491,82150
G550,1930,Wisconsin,2939006,1553843,873008,10739,2913859,1214591,1730302464,20620,21853535,316,181451
G560,1930,Wyoming,225565,70097,72905,1250,214067,1001135,205851040,42534,23482700,263,15748
